artist,track,audio_features_danceability,audio_features_energy,audio_features_key,audio_features_loudness,audio_features_mode,audio_features_speechiness,audio_features_acousticness,audio_features_instrumentalness,audio_features_liveness,audio_features_valence,audio_features_tempo,audio_features_duration_ms,audio_features_time_signature
Sara Bareilles,Love Song,0.54,0.691,7,-5.888,1,0.0306,7.78e-05,0.331,0.0413,0.367,127.946,233267,4
Nelly Furtado,I'm Like A Bird,0.473,0.874,9,-7.606,1,0.0385,0.00144,3.68e-05,0.299,0.353,131.056,247293,4
Nirvana,Lithium,0.795,0.596,11,-3.799,0,0.219,0.103,0,0.164,0.357,101.985,326280,4
MGMT,Electric Feel,0.879,0.566,11,-8.789,1,0.0364,0.411,0.000128,0.0794,0.673,114.006,315693,4
Rise Against,Swing Life Away,0.621,0.832,11,-6.96,1,0.047,0.0373,0,0.0948,0.597,99.96,199376,4
OK Go,Here It Goes Again,0.722,0.635,6,-9.6,0,0.0419,0.141,0.000873,0.3,0.53,123.999,221421,4
Rob Thomas,Her Diamonds,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,212960,4
Howie Day,Collide - Chris Lord-Alge Mix aka Radio Edit,0.544,0.866,10,-6.424,1,0.0691,0.0723,1.13e-06,0.119,0.229,126.022,237840,4
Nirvana,In Bloom,0.564,0.431,4,-9.864,1,0.0348,0.498,0,0.0931,0.468,77.499,407419,4
Nirvana,Come As You Are,0.404,0.571,0,-5.069,1,0.0303,0.182,2.08e-05,0.129,0.29,147.01,245933,4
Portishead,Glory Box - Live,0.625,0.815,11,-3.904,0,0.0325,0.0265,0,0.29,0.485,115.95,208427,4
Phillip Phillips,Wicked Game,0.498,0.583,0,-4.762,1,0.0274,0.105,0,0.0698,0.4,82.071,267933,4
Kina Grannis,In Your Arms,0.69,0.373,0,-9.454,0,0.0284,0.722,0.00103,0.111,0.329,116.925,316440,4
Bruno Mars,Treasure,0.504,0.719,1,-9.155,0,0.0431,0.00878,0.00149,0.075,0.177,102.144,386707,4
The Script,Breakeven,0.584,0.887,2,-4.237,1,0.036,0.00213,9.75e-06,0.323,0.495,107.027,228840,4
The All-American Rejects,"Swing, Swing",0.534,0.878,4,-5.134,1,0.0934,0.00503,0,0.367,0.676,127.913,219760,4
Coldplay,Life in Technicolor ii,0.618,0.812,1,-5.753,1,0.0311,0.122,3.2e-06,0.164,0.705,100.0,213107,4
Justin Timberlake,Suit & Tie,0.581,0.526,11,-7.639,1,0.0253,0.00941,0.000539,0.113,0.572,166.074,231707,4
Milky Chance,Stolen Dance,0.589,0.959,1,-3.068,1,0.038,0.000124,2.74e-06,0.0786,0.78,127.013,211187,4
Andy Grammer,Back Home,0.514,0.873,0,-4.939,1,0.0528,0.0124,0,0.112,0.459,124.018,247347,4
CAZZETTE,Sleepless - Radio Edit,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,209386,4
Calvin Harris,Blame (feat. John Newman),0.528,0.831,8,-3.607,1,0.0429,9.43e-05,0,0.141,0.632,131.094,220480,3
Hey Rosetta!,Soft Offering (For the Oft Suffering),0.622,0.882,9,-5.59,0,0.119,0.0912,0,0.216,0.762,77.506,284187,4
Steam Powered Giraffe,Captain Albert Alexander,0.615,0.537,10,-9.315,1,0.0293,0.453,4.32e-06,0.0924,0.349,136.625,282013,4
Augustana,Boston,0.654,0.654,0,-4.64,1,0.0265,0.0393,6.18e-05,0.844,0.673,114.979,185267,4
Adam Levine,No One Else Like You,0.706,0.817,11,-7.844,0,0.0447,0.215,0,0.312,0.735,118.068,216613,4
Adam Levine,Lost Stars,0.498,0.468,4,-7.425,1,0.0268,0.536,0,0.242,0.183,108.128,223133,4
Adele,Lovesong,0.579,0.967,1,-2.789,1,0.0406,0.00167,0.025,0.176,0.873,120.014,183720,4
Golden Earring,Radar Love,0.72,0.744,1,-6.938,0,0.12,0.237,0,0.255,0.619,78.953,243773,4
Neon Trees,Sleeping With A Friend,0.829,0.674,8,-4.493,1,0.0362,0.0838,0.00174,0.102,0.974,109.917,220200,4
Owl City,Tokyo,0.597,0.868,7,-5.095,1,0.0526,0.0212,0,0.664,0.709,160.021,221893,4
Owl City,Hot Air Balloon,0.641,0.967,5,-4.289,0,0.0601,0.0483,0.000276,0.442,0.725,113.017,238787,4
Owl City,Vanilla Twilight,0.642,0.808,0,-6.406,1,0.0463,0.0383,0.00829,0.547,0.273,97.565,241640,4
Owl City,Dementia,0.604,0.825,0,-5.373,1,0.0429,0.0564,5.8e-05,0.192,0.707,144.085,193107,4
Owl City,Shooting Star,0.597,0.777,8,-5.638,1,0.0668,0.000356,0.00113,0.169,0.776,111.999,287907,4
Fitz and The Tantrums,Out of My League,0.597,0.848,0,-5.841,1,0.0308,0.0372,2.33e-05,0.122,0.437,128.009,214080,4
Paramore,That's What You Get,0.583,0.79,9,-4.885,1,0.0319,0.0851,0.000387,0.11,0.714,103.286,171333,4
John Legend,Green Light (feat. André 3000),0.677,0.624,0,-7.64,1,0.0308,0.0804,3.7e-05,0.285,0.501,115.017,203947,4
Elton John,Rocket Man (I Think It's Going To Be A Long Long Time),0.684,0.904,4,-6.916,0,0.0669,0.0133,2.7e-06,0.0711,0.914,119.993,170501,4
Cults,Most Wanted,0.474,0.752,9,-4.754,0,0.192,3.64e-05,0.159,0.532,0.676,163.058,177427,4
Jason Mraz,The Dynamo of Volition,0.582,0.921,4,-6.137,0,0.0377,0.00336,0.0708,0.41,0.705,119.182,268547,4
Rilo Kiley,With Arms Outstretched,0.651,0.866,1,-3.831,1,0.0584,0.00933,0,0.113,0.801,113.945,267827,4
American Authors,Believer,0.632,0.908,8,-3.511,1,0.0458,0.00762,0.000172,0.167,0.764,110.024,202467,4
Gym Class Heroes,Cupid's Chokehold / Breakfast in America,0.625,0.934,5,-2.869,0,0.0584,0.000555,0.0897,0.111,0.679,87.023,194880,4
Sugar Ray,Every Morning - Remastered,0.774,0.721,6,-6.662,0,0.0773,0.0126,6.49e-06,0.0952,0.654,118.048,263427,4
Lenny Kravitz,Fly Away,0.597,0.877,5,-5.038,0,0.0554,0.00113,0.0163,0.537,0.501,124.925,203960,4
Foster The People,Call It What You Want,0.629,0.809,4,-4.886,1,0.0466,0.0438,0.714,0.115,0.333,127.401,354360,4
Phoenix,Lisztomania,0.696,0.886,9,-3.713,0,0.0291,0.0608,1.01e-06,0.585,0.801,112.52,189893,4
Phoenix,1901,0.571,0.963,7,-3.54,1,0.0843,0.0195,0,0.104,0.911,160.033,180947,4
Passion Pit,The Reeling,0.619,0.699,9,-6.862,0,0.034,0.141,0.00213,0.107,0.339,115.029,277013,4
Foster The People,I Would Do Anything for You,0.415,0.463,6,-9.86,0,0.0823,0.134,0.00255,0.101,0.573,96.1,350533,4
Matt and Kim,Daylight,0.65,0.377,6,-12.626,1,0.0275,0.807,0.0487,0.11,0.288,129.028,195735,4
Matt and Kim,It's Alright,0.592,0.416,1,-9.794,1,0.0246,0.882,0.000586,0.112,0.417,96.002,210080,4
Coconut Records,Nighttiming,0.534,0.332,11,-7.44,1,0.0374,0.837,0,0.0997,0.509,110.771,247817,4
Two Door Cinema Club,I Can Talk,0.418,0.828,11,-4.132,0,0.0475,0.136,0,0.336,0.448,124.783,220720,4
Cults,High Road,0.547,0.878,1,-4.65,1,0.0431,0.000931,0,0.191,0.536,140.07,236280,4
Foster The People,Best Friend,0.423,0.862,0,-5.13,0,0.0695,0.00791,0,0.133,0.462,154.746,217760,4
Foster The People,Houdini,0.415,0.11,1,-14.901,1,0.0388,0.951,0.00234,0.0962,0.234,81.876,240147,4
The Submarines,1940 - AmpLive Remix,0.245,0.471,9,-7.952,0,0.0313,0.652,0.00717,0.126,0.287,165.996,206693,4
Miike Snow,Animal,0.49,0.8,4,-6.118,0,0.0298,0.446,0,0.139,0.203,108.435,211787,4
Two Door Cinema Club,Come Back Home,0.568,0.48,10,-7.126,1,0.0267,0.147,2.9e-05,0.0959,0.254,83.043,236635,4
Silversun Pickups,Lazy Eye,0.793,0.464,5,-6.624,1,0.0386,0.112,0,0.109,0.851,124.994,148600,4
Fitz and The Tantrums,Moneygrabber,0.62,0.468,4,-9.648,1,0.0268,0.715,3.93e-05,0.106,0.217,110.969,266078,4
Matchbox Twenty,Our Song,0.512,0.948,1,-7.923,1,0.0439,0.126,0.0122,0.112,0.607,88.556,193240,4
Matchbox Twenty,English Town,0.736,0.761,4,-5.449,0,0.0338,0.0966,0,0.0823,0.114,119.999,238427,4
Hiatus Kaiyote,Shaolin Monk Motherfunk,0.411,0.893,7,-3.646,1,0.139,0.00563,0.00967,0.149,0.513,170.407,363853,4
Little May,Boardwalks,0.407,0.725,5,-5.346,0,0.188,0.0141,2.46e-06,0.306,0.247,196.093,247267,4
The Paper Kites,Bloom - Bonus Track,0.375,0.818,0,-4.031,1,0.141,0.084,0,0.0569,0.333,112.887,200226,4
Jasmine Thompson,Rather Be,0.61,0.893,9,-3.681,1,0.0921,0.154,4.41e-05,0.021,0.673,104.031,296520,4
Panic! At The Disco,"Build God, Then We'll Talk",0.871,0.44,11,-6.25,0,0.0761,0.499,4.15e-06,0.114,0.799,137.996,221267,4
Lifehouse,All In,0.668,0.739,4,-4.919,1,0.0308,0.0383,0,0.13,0.571,131.918,231467,4
Gavin DeGraw,I Don't Want to Be,0.683,0.805,5,-5.24,1,0.353,0.172,0.000231,0.357,0.834,123.658,315094,4
Hozier,Cherry Wine - Live,0.512,0.817,7,-3.154,1,0.142,0.0505,0,0.0775,0.552,154.607,215173,4
Coldplay,Princess of China - Acoustic,0.5,0.59,0,-8.381,1,0.029,0.00133,0.00198,0.366,0.166,134.988,313093,4
Lisa Hannigan,Knots,0.21,0.836,8,-3.822,0,0.0473,0.0131,3.41e-06,0.123,0.348,162.063,206867,4
Shake Shake Go,England Skies,0.519,0.567,11,-8.507,1,0.0491,0.263,0.000144,0.116,0.51,116.967,349493,4
Donavon Frankenreiter,Free,0.414,0.725,8,-3.972,1,0.046,0.00147,0.0253,0.331,0.478,75.194,220240,4
Colin & Caroline,More Than Gravity,0.641,0.686,0,-6.727,1,0.0261,0.053,5.05e-05,0.159,0.669,111.994,242587,4
Half Moon Run,Call Me In The Afternoon,0.642,0.683,8,-6.577,1,0.0264,0.0608,1.27e-06,0.147,0.704,96.517,197520,4
Tove Lo,Talking Body,0.521,0.516,2,-7.456,0,0.0369,0.723,0,0.257,0.569,136.483,172480,4
Rage Against The Machine,Wake Up,0.663,0.748,6,-5.83,1,0.0462,0.277,0.003,0.312,0.926,159.719,242640,4
DJ Snake,You Know You Like It,0.33,0.905,4,-5.047,1,0.0497,0.000233,8.14e-06,0.0712,0.259,163.142,228800,4
Alessia Cara,Here,0.497,0.537,4,-9.264,1,0.0269,0.079,0.000139,0.0782,0.371,108.448,265000,4
Paramore,Ain't It Fun,0.818,0.858,1,-4.219,0,0.0398,0.0642,0.256,0.256,0.753,119.605,258503,4
Kid Cudi,Day 'N' Nite (nightmare),0.774,0.817,7,-3.076,1,0.0338,0.0972,2.13e-06,0.143,0.834,93.011,203667,4
John Mayer,No Such Thing,0.472,0.774,3,-5.383,1,0.0824,0.167,0.000278,0.132,0.443,179.942,249493,4
Disclosure,Holding On,0.686,0.286,11,-10.216,0,0.0261,0.791,1.18e-05,0.104,0.229,96.994,184253,4
The Fratellis,Chelsea Dagger,0.801,0.546,11,-7.256,1,0.132,0.28,0.929,0.141,0.902,94.0,275751,4
SIX60,Forever,0.563,0.924,2,-2.703,1,0.0411,0.000912,0.578,0.0351,0.257,119.084,307800,4
Knox Hamilton,Work It Out,0.538,0.692,9,-5.622,0,0.0722,0.7,0,0.344,0.57,139.762,210120,4
Allen Stone,Unaware,0.854,0.766,9,-4.697,0,0.141,0.0242,0,0.0793,0.784,118.004,224258,4
Phoenix,Entertainment,0.826,0.596,1,-9.751,1,0.0447,0.371,2.21e-05,0.0578,0.721,118.984,238293,4
Owl City,The Saltwater Room,0.359,0.648,3,-7.06,1,0.035,0.108,0.0135,0.0555,0.133,111.733,278373,4
The Hush Sound,We Intertwined,0.663,0.208,2,-10.89,1,0.0313,0.85,0,0.114,0.232,115.028,173509,4
Bobby Darin,Beyond the Sea,0.435,0.802,1,-6.871,1,0.324,0.00376,0,0.467,0.454,84.267,207000,4
Lenny Kravitz,It Ain't Over 'Til It's Over,0.777,0.673,8,-3.953,1,0.0351,0.0162,0.00892,0.0869,0.821,115.133,242253,4
Travis,Sing,0.611,0.73,4,-4.942,0,0.0554,0.399,0,0.333,0.594,146.15,240400,4
Travis,Why Does It Always Rain On Me?,0.58,0.876,4,-2.713,1,0.0356,0.00967,1.83e-05,0.103,0.779,157.091,271280,4
Tuxedo,Do It,0.578,0.852,0,-5.222,1,0.0361,0.064,1.57e-06,0.24,0.482,119.997,255653,4
Pigeon John,The Bomb,0.518,0.792,2,-13.335,1,0.0406,0.000181,0.383,0.346,0.384,104.003,217907,4
Imagine Dragons,Monster,0.454,0.79,11,-4.361,0,0.0285,0.00604,3.09e-05,0.225,0.362,100.225,291907,4
Bahari,Wild Ones,0.752,0.933,8,-3.529,1,0.0814,0.0577,1.5e-05,0.106,0.768,135.023,217240,4
Proleter,April Showers,0.528,0.943,2,-3.368,1,0.043,0.00412,0,0.546,0.515,109.974,189613,4
The Prodigy,Spitfire,0.782,0.329,10,-10.347,1,0.0368,0.231,5.94e-06,0.107,0.434,91.523,228347,4
Melanie Martinez,Dead to Me,0.555,0.93,11,-2.828,0,0.0485,0.0747,0.104,0.275,0.339,125.999,213027,4
Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",0.491,0.904,7,-3.126,1,0.114,0.0731,0,0.172,0.524,95.042,217680,4
Good Lovelies,Backyard,0.521,0.732,4,-5.408,0,0.0321,0.000783,0.57,0.159,0.185,125.99,237813,4
Of Monsters and Men,Dirty Paws,0.496,0.731,2,-5.283,1,0.0688,0.147,1.29e-06,0.207,0.296,96.997,198680,4
Gardiner Sisters,Home / Dirty Paws,0.375,0.657,8,-6.661,0,0.0251,0.0161,0.00115,0.13,0.182,96.041,223440,3
Kanye West,Good Life,0.397,0.403,2,-8.502,1,0.0332,0.766,0.124,0.0759,0.0363,109.167,258560,4
No Doubt,Hella Good,0.434,0.507,7,-6.627,1,0.029,0.0098,0.023,0.0963,0.15,110.066,275187,4
No Doubt,Bathwater,0.429,0.62,4,-6.313,1,0.0274,0.0473,7.25e-05,0.115,0.276,139.914,252760,4
No Doubt,Sunday Morning,0.461,0.77,11,-6.017,0,0.0288,0.00381,0.00413,0.125,0.352,110.928,261880,4
No Doubt,Simple Kind Of Life,0.752,0.695,5,-5.776,1,0.0279,0.204,0.00484,0.146,0.599,118.144,187053,4
Working for a Nuclear Free City,Dead Fingers Talking,0.697,0.775,10,-4.106,1,0.0636,0.139,0,0.0737,0.822,90.015,200453,4
Dishwalla,Counting Blue Cars (Tell Me Your Thoughts On God),0.737,0.615,3,-3.76,1,0.0317,0.0149,0,0.102,0.41,110.023,231173,4
Illy,It Can Wait (ft Owl Eyes),0.785,0.732,5,-6.177,1,0.0513,0.059,3.74e-06,0.524,0.798,137.946,255680,4
Flyleaf,New Horizons,0.571,0.77,0,-5.498,1,0.0314,0.0534,1.02e-06,0.129,0.613,141.996,240320,4
Defeater,I Don't Mind,0.67,0.876,5,-4.905,0,0.0536,0.0127,0.00302,0.109,0.736,126.968,276173,4
Flyleaf,Platonic,0.544,0.788,5,-5.593,0,0.0474,0.000366,0,0.141,0.818,148.121,245133,4
Flyleaf,Set Me on Fire,0.624,0.878,8,-2.934,1,0.0514,0.000457,0,0.0656,0.878,119.106,216560,4
Of Monsters and Men,Human,0.47,0.89,2,-4.672,1,0.0456,0.000798,1.23e-05,0.196,0.628,154.982,263400,4
Saint Motel,Butch,0.818,0.713,4,-6.044,0,0.0431,0.207,0.00337,0.233,0.966,106.005,215067,4
Of Monsters and Men,From Finner,0.556,0.929,7,-3.659,1,0.037,0.0499,1.7e-06,0.0931,0.842,137.996,188893,4
Of Monsters and Men,Backyard - Bonus Track,0.407,0.896,6,-2.935,1,0.063,0.012,0,0.196,0.156,138.697,243573,3
Of Monsters and Men,Lakehouse,0.541,0.916,7,-5.964,0,0.0612,0.00326,2.04e-06,0.0967,0.627,156.015,197800,4
The Decemberists,Leslie Anne Levine,0.483,0.278,2,-8.461,0,0.0372,0.438,0,0.0767,0.369,119.98,277680,3
Of Monsters and Men,We Sink,0.672,0.872,1,-4.324,1,0.0486,0.00241,0,0.16,0.848,88.047,225427,4
Band of Horses,The General Specific,0.523,0.296,11,-12.486,0,0.0292,0.908,0.00087,0.0922,0.346,122.571,181547,4
The Ready Set,Love Like Woe,0.535,0.821,2,-4.997,1,0.0621,0.000821,0,0.0438,0.534,148.08,162453,4
Maroon 5,Won't Go Home Without You,0.46,0.917,2,-4.505,1,0.0455,6.41e-05,0.0852,0.11,0.494,132.023,272307,4
Eric Hutchinson,Outside Villanova,0.714,0.533,4,-10.405,1,0.0293,0.64,1.7e-06,0.162,0.631,118.107,182613,4
Rob Thomas,Mockingbird,0.703,0.811,4,-4.873,0,0.0423,0.000307,0,0.199,0.711,102.979,216200,4
Foster The People,Helena Beat,0.37,0.606,9,-4.07,0,0.0332,0.475,3.07e-06,0.0844,0.438,81.272,183933,4
WALK THE MOON,Jenny,0.867,0.596,5,-4.851,0,0.0463,0.117,0.000125,0.061,0.646,125.984,233960,4
Smallpools,Dreaming,0.51,0.931,0,-11.12,1,0.0423,0.185,1.36e-05,0.12,0.491,97.908,392676,4
Foster The People,Ask Yourself,0.477,0.479,7,-11.887,0,0.0483,0.0649,0.029,0.0906,0.662,122.531,396187,4
Chromeo,Hard to Say No,0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,235053,4
Counting Crows,Accidentally In Love,0.611,0.945,8,-6.741,1,0.0384,0.00395,0.114,0.975,0.552,113.987,326573,4
Staind,So Far Away,0.538,0.843,0,-4.573,1,0.0412,0.00152,0.0439,0.477,0.492,113.671,217333,4
Seether,Nobody Praying For Me,0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,263787,4
The Weeknd,Earned It (Fifty Shades Of Grey),0.754,0.449,4,-14.013,1,0.0615,0.724,0,0.162,0.973,82.751,211880,4
Counting Crows,Big Yellow Taxi,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464,260533,4
The Civil Wars,20 Years,0.531,0.542,8,-7.721,1,0.0432,0.356,0,0.119,0.726,171.878,200200,4
Wild Party,OutRight,0.438,0.906,3,-4.8,1,0.0438,0.0191,0,0.373,0.684,161.905,206000,4
Snow Patrol,You're All I Have,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18e-06,0.176,0.262,160.139,256613,4
Benjamin Francis Leftwich,Shine,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,4
Maroon 5,Misery,0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,219043,4
The White Stripes,Dead Leaves And The Dirty Ground,0.669,0.747,6,-7.108,1,0.0428,0.141,0,0.185,0.483,122.531,242440,4
Outkast,The Way You Move - Radio Mix,0.564,0.737,9,-4.079,1,0.0414,0.0175,0,0.054,0.211,104.764,220573,4
Tears For Fears,Shout,0.628,0.737,7,-4.437,1,0.041,0.0625,0,0.0777,0.592,91.507,185194,4
Jethro Tull,Aqualung,0.62,0.807,1,-5.526,0,0.032,0.00496,0.00243,0.162,0.529,75.979,195320,4
System Of A Down,Aerials,0.715,0.715,5,-7.364,1,0.0904,0.0526,0,0.0936,0.506,134.923,238747,4
Depeche Mode,Policy of Truth - Live,0.541,0.812,4,-3.764,1,0.0336,0.203,0,0.42,0.607,141.056,201627,4
Garbage,I Think I'm Paranoid,0.702,0.705,0,-6.665,1,0.0543,0.258,5.93e-06,0.0879,0.743,154.909,213445,4
Coldplay,Adventure of a Lifetime,0.658,0.814,1,-6.156,0,0.0492,0.0401,0,0.114,0.318,109.023,227423,4
Mungo Jerry,In the Summertime,0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,237627,4
James Bay,Let It Go,0.573,0.905,10,-5.954,1,0.0343,0.0408,0,0.113,0.683,135.943,247800,4
Plain White T's,Rhythm Of Love,0.571,0.784,11,-6.396,1,0.0352,0.0175,0,0.19,0.462,105.973,255493,4
Gavin DeGraw,In Love With a Girl,0.432,0.882,4,-4.441,1,0.0395,0.00624,0.072,0.312,0.302,139.983,247904,4
The Fray,Never Say Never,0.513,0.906,0,-4.151,1,0.0485,0.000205,4.9e-05,0.204,0.556,147.967,182787,4
The Chainsmokers,Roses,0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,239894,4
Robin Schulz,Sugar (feat. Francesco Yates),0.682,0.862,0,-4.72,1,0.0377,0.0498,0,0.187,0.536,120.054,178587,4
Rudimental,Lay It All on Me (feat. Ed Sheeran),0.749,0.819,9,-3.678,1,0.0599,0.0033,0,0.0933,0.38,121.995,200133,4
DJ Snake,Middle,0.7,0.701,11,-3.834,0,0.161,0.013,0,0.461,0.38,93.012,223107,4
Troye Sivan,YOUTH,0.648,0.903,1,-4.397,1,0.0638,0.0745,0,0.135,0.898,110.0,190213,4
The Goo Goo Dolls,So Alive,0.692,0.319,10,-10.27,1,0.0634,0.636,1.44e-06,0.152,0.368,74.035,281426,4
James Bay,Hold Back The River,0.508,0.911,0,-3.425,1,0.0501,0.00176,3.59e-05,0.497,0.553,91.983,294160,4
Uncle Kracker,Smile,0.512,0.373,8,-11.765,0,0.0289,0.777,0.501,0.11,0.204,120.059,285000,3
Ellie Goulding,On My Mind,0.602,0.776,9,-9.204,1,0.0311,0.129,0.77,0.193,0.923,129.458,297160,4
Ellie Goulding,Something In The Way You Move,0.608,0.894,5,-12.356,1,0.0436,0.0032,0.095,0.315,0.385,120.2,420400,4
Echosmith,Cool Kids,0.526,0.862,0,-10.078,1,0.0636,0.108,0.000793,0.697,0.637,150.545,570694,4
Rob Thomas,Someday,0.803,0.851,7,-2.429,1,0.0357,0.00485,0.000358,0.0577,0.881,113.996,211080,4
O.A.R.,Shattered [Turn The Car Around],0.666,0.641,11,-5.751,0,0.0887,0.571,0,0.0955,0.738,74.684,201240,4
Switchfoot,I Dare You To Move,0.507,0.0677,2,-13.766,0,0.0406,0.978,2.74e-05,0.132,0.355,105.393,181827,5
Echosmith,Let's Love,0.491,0.194,8,-11.441,1,0.0365,0.961,0,0.105,0.36,98.475,238067,1
John Newman,Love Me Again,0.712,0.146,1,-14.663,1,0.0603,0.821,0,0.0768,0.451,91.578,174707,4
American Authors,What We Live For,0.475,0.0588,5,-17.464,0,0.0418,0.89,0.0238,0.129,0.241,115.642,206360,4
Shawn Hook,Sound Of Your Heart,0.692,0.836,10,-6.433,0,0.0517,0.162,0,0.0905,0.953,174.493,222400,4
Nick Jonas,Jealous,0.823,0.778,2,-12.313,0,0.0475,0.331,0,0.0799,0.862,121.033,208173,4
Nick Fradiani,Get You Home,0.816,0.791,4,-4.21,1,0.0372,0.0353,0.000345,0.17,0.963,128.521,200493,4
Mike Posner,I Took A Pill In Ibiza,0.648,0.751,8,-8.582,1,0.0806,0.0182,0.000401,0.0418,0.863,100.437,244827,4
Living Colour,Cult of Personality,0.608,0.297,4,-9.815,1,0.369,0.882,0,0.103,0.966,206.567,201160,4
The National,Exile Vilify (From the Game Portal 2),0.754,0.143,5,-16.507,1,0.0609,0.889,0,0.168,0.805,134.356,169627,4
Sisters of Mercy,Lucretia My Reflection,0.59,0.929,2,-3.236,1,0.0478,0.0714,0.000153,0.0598,0.674,119.818,254467,4
Sisters of Mercy,Dominion / Mother Russia (Medley) - 2006 Remaster,0.692,0.373,10,-12.201,1,0.027,0.909,4.35e-06,0.116,0.782,144.591,146080,4
Sisters of Mercy,This Corrosion,0.744,0.298,1,-10.521,1,0.0531,0.604,0.276,0.0453,0.822,154.886,152533,4
Maroon 5,Makes Me Wonder,0.488,0.651,4,-7.829,0,0.0355,0.0435,2.69e-06,0.153,0.684,116.758,212933,4
Delta Rae,Bottom of the River,0.568,0.121,5,-14.725,1,0.0555,0.987,0.0545,0.0887,0.431,130.16,194247,4
Billie Holiday,All of Me,0.536,0.0995,6,-17.742,0,0.0668,0.991,0.000779,0.103,0.349,90.826,185093,4
Billie Holiday,God Bless The Child,0.427,0.0992,3,-16.6,1,0.0389,0.994,1.23e-05,0.164,0.302,82.175,201267,4
Billie Holiday,I Must Have That Man (with Teddy Wilson & His Orchestra),0.457,0.125,8,-19.345,1,0.0351,0.993,0.002,0.11,0.477,105.246,168493,4
John Coltrane,I'll Wait and Pray,0.532,0.197,0,-14.752,0,0.0459,0.986,0.000623,0.112,0.369,94.519,173027,4
Stevie Wonder,Part-Time Lover,0.396,0.121,7,-19.266,1,0.0442,0.969,9.01e-05,0.262,0.253,83.898,191667,4
Daryl Hall & John Oates,Private Eyes,0.654,0.452,2,-9.709,1,0.03,0.835,2.89e-05,0.16,0.691,106.662,259307,3
Men At Work,Who Can It Be Now?,0.726,0.474,1,-7.834,0,0.0491,0.803,0,0.258,0.57,116.027,235733,4
Stevie Wonder,Superstition,0.306,0.117,5,-18.713,1,0.0322,0.84,0.00527,0.121,0.142,74.319,207440,4
Ella Fitzgerald,Undecided,0.694,0.211,7,-15.276,1,0.0579,0.971,0.00102,0.154,0.416,146.422,174867,3
Johnny Mercer,Personality,0.535,0.24,10,-15.198,1,0.085,0.92,0,0.111,0.49,128.547,153867,4
Santana,The Game of Love (feat. Michelle Branch) - Main / Radio Mix,0.549,0.169,9,-13.433,0,0.0779,0.918,0,0.159,0.36,79.318,187693,4
Eddy Arnold,It's a Sin,0.735,0.122,0,-11.4,1,0.0636,0.844,0,0.107,0.367,87.925,184493,4
Louis Jordan & His Tympany Five,Keep A Knockin' (But You Can't Come In),0.376,0.0696,10,-19.733,1,0.0299,0.992,0.76,0.101,0.208,92.235,184827,4
The Zombies,Time Of The Season,0.632,0.134,8,-17.029,1,0.0532,0.985,0.00126,0.285,0.618,89.088,180930,4
The Ink Spots,Into Each Life Some Rain Must Fall - Remastered,0.702,0.226,5,-13.417,1,0.0457,0.98,0.00102,0.0653,0.881,92.42,200067,4
The Ink Spots,If I Didn't Care - Single Version,0.644,0.156,1,-16.529,1,0.0329,0.532,0,0.105,0.744,113.96,171427,4
The Ink Spots,We Three,0.68,0.258,9,-11.995,1,0.0554,0.627,0,0.293,0.781,132.056,147293,4
The Ink Spots,Bless You,0.221,0.253,8,-14.614,1,0.0279,0.75,3.71e-05,0.167,0.188,94.143,157733,4
The Ink Spots,Address Unknown,0.806,0.191,5,-9.527,1,0.0517,0.819,0,0.0579,0.551,109.802,162680,4
Marty Robbins,El Paso,0.718,0.665,8,-10.369,1,0.101,0.917,0.000675,0.11,0.751,79.725,159000,4
Marty Robbins,Big Iron,0.605,0.544,2,-11.37,1,0.0682,0.823,0.00579,0.338,0.797,115.779,163627,4
Nat King Cole,Unforgettable,0.232,0.216,10,-10.674,1,0.0314,0.936,4.93e-06,0.246,0.432,94.268,157573,3
Nat King Cole,(Get Your Kicks On) Route 66,0.426,0.0823,9,-16.24,0,0.0324,0.986,0.0787,0.204,0.3,92.165,165698,4
Nat King Cole,Orange Colored Sky,0.644,0.834,4,-6.473,1,0.0275,0.156,0,0.112,0.593,117.043,215547,4
Ella Fitzgerald,Dream A Little Dream Of Me,0.552,0.957,7,-5.0,1,0.108,0.455,0.000161,0.0665,0.533,136.975,141493,4
Louis Armstrong,A Kiss To Build A Dream On,0.372,0.962,6,-2.977,1,0.0747,8.83e-06,0.905,0.361,0.49,159.954,237453,4
